18 - 24,Female,High School or lower,Czechia,I'm familiar but don't have hands-on experience.,Multiple times a day,"No, but I appreciate the arts and often view such content.",4,5,4,4,3,2,2,2,2,5,4,5,4,1,1,1,1,1,1,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,4,4,3,4,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,
18 - 24,Male,Bachelor's Degree,Belgium,I'm an expert (work with AI or CGI professionally).,Multiple times a day,"No, but I appreciate the arts and often view such content.",5,5,5,5,4,4,5,4,4,4,4,5,5,1,1,2,4,4,2,4,3,2,5,5,3,4,1,1,1,3,2,1,1,1,1,1,2,1,1,2,2,4,4,4,3,4,4,2,5,5,5,5,3,3,5,5,5,4,4,4,3,5,5,5,5,Nothing in particular
35 - 44,Male,Master's Degree,portugal,I'm familiar but don't have hands-on experience.,Weekly,"No, but I appreciate the arts and often view such content.",5,4,4,5,4,5,5,4,4,5,5,4,5,3,4,2,2,4,2,3,2,3,3,4,2,4,2,2,2,2,2,3,2,2,3,2,3,1,2,3,4,3,3,4,3,4,3,2,4,4,4,4,5,5,5,4,4,5,5,5,4,5,5,5,4,
18 - 24,Male,Bachelor's Degree,Belgium,I'm familiar but don't have hands-on experience.,Multiple times a day,"No, but I appreciate the arts and often view such content.",5,5,5,5,5,5,5,5,5,4,2,4,4,1,3,1,4,2,1,1,1,1,5,5,4,5,1,3,1,1,2,1,1,1,1,1,1,1,1,3,4,2,1,1,1,1,2,1,4,5,2,4,1,4,2,2,4,5,5,5,5,4,5,5,4,no
25 - 34,Female,Bachelor's Degree,south africa,I'm familiar but don't have hands-on experience.,Daily,"No, but I appreciate the arts and often view such content.",5,5,5,5,5,4,4,5,2,5,5,5,5,4,4,5,4,4,2,5,5,2,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,1,4,3,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,no comments. I am satisfied with the images evaluated
18 - 24,Male,High School or lower,Poland,I'm familiar but don't have hands-on experience.,Multiple times a day,I have taken courses or received training.,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,4,3,2,5,5,5,5,4,1,3,4,1,1,1,1,1,1,1,1,1,1,4,1,1,1,4,4,2,3,2,1,2,2,5,5,4,3,5,5,5,2,4,5,5,5,4,5,5,5,5,
25 - 34,Female,High School or lower,South Africa ,I'm familiar but don't have hands-on experience.,Daily,No experience or particular interest.,5,5,5,5,5,5,5,5,5,4,4,4,4,2,2,2,2,2,1,1,1,1,4,5,4,2,3,3,3,3,3,1,1,1,1,1,1,1,1,5,5,4,3,4,1,1,1,1,5,5,5,4,4,4,4,4,4,4,4,4,4,5,5,4,3,No
45 - 54,Male,High School or lower,uk,I'm familiar but don't have hands-on experience.,Daily,"No, but I appreciate the arts and often view such content.",4,5,4,4,2,2,4,3,4,4,3,3,3,2,2,3,4,3,1,3,2,2,4,4,3,2,1,3,2,3,4,1,1,1,2,4,3,2,2,5,5,5,5,5,2,2,2,3,5,5,5,5,4,2,5,2,3,5,5,5,5,5,5,5,4,
18 - 24,Female,Bachelor's Degree,South Africa,I have some experience (have taken courses or dabble in it).,Weekly,"No, but I appreciate the arts and often view such content.",5,5,5,4,5,3,4,2,3,4,5,5,5,1,4,1,1,1,1,1,1,1,4,2,1,1,3,2,4,2,4,1,4,2,1,5,4,3,2,5,5,5,5,5,1,1,2,1,5,5,5,5,1,5,4,1,4,5,5,5,5,5,5,4,5,None at all.
25 - 34,Female,Master's Degree,Zimbabwe,I'm familiar but don't have hands-on experience.,Multiple times a day,"No, but I appreciate the arts and often view such content.",5,5,5,5,5,4,4,4,4,4,5,5,5,5,5,5,5,5,4,5,2,3,5,5,5,5,5,5,5,2,4,1,1,1,1,2,2,2,1,5,5,5,5,5,4,4,4,3,5,5,5,5,5,5,5,2,4,2,2,1,2,4,4,3,2,"The were no models of colour, it did not feel like the AI gave a true representation of all the people that could go skiing"
25 - 34,Male,Bachelor's Degree,Portugal,I'm not familiar at all.,Weekly,"Yes, as a hobby or pastime.",4,4,4,4,4,2,3,3,3,2,3,3,2,1,1,1,1,1,1,4,3,3,4,4,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,3,3,1,3,3,2,2,2,
25 - 34,Male,Bachelor's Degree,Mexico,I have some experience (have taken courses or dabble in it).,Daily,"No, but I appreciate the arts and often view such content.",4,4,4,4,3,2,3,2,2,2,3,2,2,2,3,2,2,4,1,1,1,1,2,4,2,2,1,1,1,1,1,1,1,1,1,2,2,1,2,5,5,5,5,5,1,1,1,1,5,5,5,5,1,5,4,3,5,2,1,2,1,5,5,5,5,muy interesante estudio
18 - 24,Male,Bachelor's Degree,Poland,I'm an expert (work with AI or CGI professionally).,Daily,"Yes, as a hobby or pastime.",1,2,1,2,2,2,1,1,2,2,2,2,1,2,1,2,2,1,4,4,4,4,2,2,1,2,2,1,2,2,1,2,1,2,1,2,2,2,1,2,1,2,2,1,1,1,1,2,4,4,5,4,4,5,4,4,5,4,5,5,4,4,4,5,5,-
